"Match","Date","League","Opponent","Result"
"2738542959","27 Oct 2016","4874","Team AD FINEM","Loss"
"2738365296","27 Oct 2016","4874","Team Liquid","Loss"
"2737871123","27 Oct 2016","4874","Escape Gaming","Loss"
"2737734106","27 Oct 2016","4874","Natus Vincere","Win"
"2737326148","27 Oct 2016","4874","Fantastic Five","Win"
"2736611319","26 Oct 2016","4951","Virtus.pro","Loss"
"2736535496","26 Oct 2016","4951","Virtus.pro","Loss"
"2736399954","26 Oct 2016","4951","Vega Squadron","Loss"
"2736296946","26 Oct 2016","4951","Vega Squadron","Win"
"2734657183","25 Oct 2016","4951","Natus Vincere","Loss"
"2734554256","25 Oct 2016","4951","Natus Vincere","Win"
"2723384574","20 Oct 2016","4951","Team Liquid","Loss"
"2723306714","20 Oct 2016","4951","Team Liquid","Loss"
"2723167989","20 Oct 2016","4951","Cloud 9","Win"
"2723059334","20 Oct 2016","4951","Cloud 9","Loss"
"2719395739","18 Oct 2016","4951","Team NP","Win"
"2719307715","18 Oct 2016","4951","Team NP","Win"
"2719177952","18 Oct 2016","4951","Escape Gaming","Win"
"2719079436","18 Oct 2016","4951","Escape Gaming","Win"
"2699546318","09 Oct 2016","4972","Team Ukraine","Win"
"2699436897","09 Oct 2016","4972","Team Ukraine","Win"
"2699279165","09 Oct 2016","4972","Team Ukraine","Loss"
"2698794126","09 Oct 2016","4972","Horde","Loss"
"2698663165","09 Oct 2016","4972","Horde","Loss"
"2696487511","08 Oct 2016","4972","Comanche","Win"
"2696343456","08 Oct 2016","4972","Comanche","Win"
"2694579681","07 Oct 2016","4972","WOOF","Win"
"2694292520","07 Oct 2016","4972","Butterfly Effect","Win"
"2692974314","07 Oct 2016","4972","Team Alternate Attax","Loss"
"2692794991","06 Oct 2016","4972","Cloud 9","Win"
"2598624228","25 Aug 2016","4525","Elements One","Win"
"2598544849","25 Aug 2016","4525","Elements One","Win"
"2595911558","24 Aug 2016","4525","Vega Squadron","Loss"
"2595724093","24 Aug 2016","4525","Vega Squadron","Loss"
"2562207201","10 Aug 2016","4664","Fnatic","Loss"
"2562091541","10 Aug 2016","4664","Fnatic","Loss"
"2560069057","09 Aug 2016","4664","EHOME","Loss"
"2559987699","09 Aug 2016","4664","EHOME","Loss"
"2551334799","05 Aug 2016","4664","Evil Geniuses","Win"
"2551219428","05 Aug 2016","4664","Evil Geniuses","Win"
"2551125992","05 Aug 2016","4664","Escape Gaming","Win"
"2550971502","05 Aug 2016","4664","Escape Gaming","Loss"
"2549189874","04 Aug 2016","4664","the wings gaming","Loss"
"2549141737","04 Aug 2016","4664","the wings gaming","Loss"
"2548968400","04 Aug 2016","4664","Natus Vincere","Win"
"2548903189","04 Aug 2016","4664","Natus Vincere","Win"
"2547363773","04 Aug 2016","4664","LGD-GAMING","Win"
"2547303225","03 Aug 2016","4664","LGD-GAMING","Loss"
"2547208285","03 Aug 2016","4664","OG Dota2","Loss"
"2547154885","03 Aug 2016","4664","OG Dota2","Loss"
"2547014655","03 Aug 2016","4664","TNC Pro Team","Win"
"2546935618","03 Aug 2016","4664","TNC Pro Team","Win"
"2528069381","25 Jul 2016","4716","Vega Squadron","Loss"
"2527926557","25 Jul 2016","4716","Vega Squadron","Loss"
"2523645512","23 Jul 2016","4716","Team Empire","Loss"
"2523475375","23 Jul 2016","4716","Team Empire","Win"
"2523359413","23 Jul 2016","4716","Team Empire","Loss"
"2498036690","11 Jul 2016","4716","Vega Squadron","Win"
"2497932825","11 Jul 2016","4716","Vega Squadron","Win"
"2481740292","04 Jul 2016","4716","Effect","Win"
"2481604075","04 Jul 2016","4716","Effect","Win"
"2468551031","28 Jun 2016","4664","Escape Gaming","Win"
"2468463759","28 Jun 2016","4664","Escape Gaming","Win"
"2468369993","28 Jun 2016","4664","Escape Gaming","Loss"
"2468160658","28 Jun 2016","4664","Escape Gaming","Win"
"2467484798","28 Jun 2016","4664","Unknown Radiant Team","Win"
"2467346817","28 Jun 2016","4664","Unknown Radiant Team","Win"
"2465270502","27 Jun 2016","4664","Escape Gaming","Win"
"2465135350","27 Jun 2016","4664","Escape Gaming","Loss"
"2465024200","27 Jun 2016","4664","Escape Gaming","Win"
"2463703523","26 Jun 2016","4664","_PowerRangers","Win"
"2463407690","26 Jun 2016","4664","Unknown Radiant Team","Loss"
"2463214378","26 Jun 2016","4664","Team Empire","Loss"
"2462821757","26 Jun 2016","4664","Vega Squadron","Win"
"2461377243","25 Jun 2016","4664","Effect","Win"
"2461203360","25 Jun 2016","4664","Virtus.pro","Win"
"2460847765","25 Jun 2016","4664","Escape Gaming","Win"
"2460578558","25 Jun 2016","4664","Team Secret","Loss"
"2460419598","25 Jun 2016","4664","Fantastic Five","Loss"
"2445668674","18 Jun 2016","4554","Team Liquid","Loss"
"2445483404","18 Jun 2016","4554","Team Liquid","Loss"
"2443279779","17 Jun 2016","4554","Vega Squadron","Loss"
"2443155396","17 Jun 2016","4554","Vega Squadron","Loss"
"2442994449","17 Jun 2016","4554","Vega Squadron","Win"
"2442341011","17 Jun 2016","4554","Fnatic","Win"
"2442204165","17 Jun 2016","4554","Fnatic","Loss"
"2442011484","17 Jun 2016","4554","Fnatic","Win"
"2421874914","08 Jun 2016","4479","Natus Vincere","Loss"
"2421674092","08 Jun 2016","4479","Natus Vincere","Loss"
"2421505139","08 Jun 2016","4479","Natus Vincere","Win"
"2419012929","07 Jun 2016","4479","Unknown Radiant Team","Win"
"2412232933","04 Jun 2016","4479","Fnatic","Loss"
"2412105328","04 Jun 2016","4479","Fnatic","Win"
"2411940567","04 Jun 2016","4479","Fnatic","Loss"
"2411780572","04 Jun 2016","4479","Vici_Gaming Reborn","Win"
"2411603661","04 Jun 2016","4479","Vici_Gaming Reborn","Win"
"2411081738","04 Jun 2016","4479","Team Liquid","Loss"
"2410986712","04 Jun 2016","4479","Team Liquid","Win"
"2410892086","04 Jun 2016","4479","Team Liquid","Loss"
"2393750290","27 May 2016","4442","Unknown Radiant Team","Loss"
"2393660228","27 May 2016","4442","Unknown Radiant Team","Loss"
"2393469420","27 May 2016","4442","Team Empire","Win"
"2393265435","27 May 2016","4442","Team Empire","Win"
"2391226429","26 May 2016","4442","Virtus.pro","Loss"
"2391139376","26 May 2016","4442","Virtus.pro","Win"
"2391068098","26 May 2016","4442","Virtus.pro","Loss"
"2360795429","13 May 2016","4461","Newbee","Loss"
"2360692445","13 May 2016","4461","Newbee","Win"
"2360573746","13 May 2016","4461","Newbee","Loss"
"2359544019","13 May 2016","4461","Team Secret","Win"
"2359431599","13 May 2016","4461","Team Secret","Loss"
"2359311428","13 May 2016","4461","Team Secret","Win"
"2355894068","11 May 2016","4461","OG Dota2","Loss"
"2355766229","11 May 2016","4461","OG Dota2","Loss"
"2355057833","11 May 2016","4461","compLexity Gaming","Win"
"2354950006","11 May 2016","4461","compLexity Gaming","Win"
"2352938620","10 May 2016","4461","OG Dota2","Loss"
"2352859075","10 May 2016","4461","OG Dota2","Loss"
"2298713609","16 Apr 2016","4579","OG Dota2","Loss"
"2298565632","16 Apr 2016","4579","OG Dota2","Win"
"2298421256","16 Apr 2016","4579","OG Dota2","Loss"
"2296754322","15 Apr 2016","4579","LGD-GAMING","Loss"
"2296602401","15 Apr 2016","4579","LGD-GAMING","Win"
"2296427900","15 Apr 2016","4579","LGD-GAMING","Loss"
"2294001498","14 Apr 2016","4579","Virtus.pro","Win"
"2293877695","14 Apr 2016","4579","Virtus.pro","Win"
"2196501846","04 Mar 2016","4266","compLexity Gaming","Loss"
"2196306427","04 Mar 2016","4266","compLexity Gaming","Loss"
"2196139871","04 Mar 2016","4266","compLexity Gaming","Win"
"2193658590","03 Mar 2016","4266","EHOME","Win"
"2191243186","02 Mar 2016","4266","Team Liquid","Loss"
"2191144529","02 Mar 2016","4266","Team Liquid","Win"
"2191055532","02 Mar 2016","4266","Team Liquid","Loss"
"2179423318","26 Feb 2016","4266","Fnatic","Win"
"2179252492","26 Feb 2016","4266","Fnatic","Win"
"2178739661","26 Feb 2016","4266","Team. Spirit","Win"
"2178661580","26 Feb 2016","4266","Team. Spirit","Win"
"2157033796","16 Feb 2016","4289","Vega Squadron","Loss"
"2156956446","16 Feb 2016","4289","Vega Squadron","Loss"
"2154612088","15 Feb 2016","4289","Mamas-Boys","Win"
"2154495042","15 Feb 2016","4289","Mamas-Boys","Loss"
"2154396583","15 Feb 2016","4289","Mamas-Boys","Win"
"2152595788","14 Feb 2016","4289","Team Liquid","Win"
"2152521794","14 Feb 2016","4289","Team Liquid","Win"
"2149379026","13 Feb 2016","4289","Vega Squadron","Loss"
"2149223229","13 Feb 2016","4289","Vega Squadron","Loss"
"2142526018","10 Feb 2016","4289","Virtus.pro","Win"
"2142374663","10 Feb 2016","4289","Virtus.pro","Win"
"2140228532","09 Feb 2016","4289","Team Empire","Win"
"2140117293","09 Feb 2016","4289","Team Empire","Win"
"2138297645","08 Feb 2016","4289","Digital Chaos","Win"
"2138255770","08 Feb 2016","4289","Digital Chaos","Win"
"2085059868","17 Jan 2016","3902","Evil Geniuses","Win"
"2083137467","16 Jan 2016","3902","Team Liquid","Win"
"2082949424","16 Jan 2016","3902","Team Liquid","Win"
"2080584907","15 Jan 2016","3902","Team Secret","Win"
"2080442164","15 Jan 2016","3902","Team Secret","Win"
"2080280770","15 Jan 2016","3902","Team Secret","Loss"
"2077571730","14 Jan 2016","3902","Evil Geniuses","Win"
"2077418186","14 Jan 2016","3902","LGD-GAMING","Win"
"2076256631","13 Jan 2016","3902","Team. Spirit","Loss"
"2076097364","13 Jan 2016","3902","Fnatic","Win"
"2075980748","13 Jan 2016","3902","Natus Vincere","Loss"
"2016482876","20 Dec 2015","4088","LGD-GAMING","Win"
"2016383165","20 Dec 2015","4088","LGD-GAMING","Loss"
"2016250491","20 Dec 2015","4088","LGD-GAMING","Loss"
"2016100756","20 Dec 2015","4088","LGD-GAMING","Win"
"2015945300","20 Dec 2015","4088","LGD-GAMING","Win"
"2013668459","19 Dec 2015","4088","the wings gaming","Win"
"2013578837","19 Dec 2015","4088","the wings gaming","Win"
"2013039115","19 Dec 2015","4088","CDEC Gaming","Win"
"2012940442","19 Dec 2015","4088","CDEC Gaming","Loss"
"2012851176","19 Dec 2015","4088","CDEC Gaming","Win"
"2008880159","17 Dec 2015","4088","Team Liquid","Loss"
"2008680222","17 Dec 2015","4088","Team Liquid","Loss"
"2008512273","17 Dec 2015","4088","Digital Chaos","Win"
